"SVN","STATION_KEY","rid","SINUMAP","upDist","LAT_RAW","LONG_RAW","rid_LSN04","DIS_1YR_RCA","DIS_3YR_RCA","DIS_10YR_RCA","DIS_1YR_RSA","DIS_3YR_RSA","DIS_10YR_RSA","CLAY_RCA","CLAY_RSA","COMP_RCA","COMP_RSA","EROD_RCA","EROD_RSA","KFACTWS_RCA","KFACTWS_RSA","POP_RCA","POP_RSA","SAND_RCA","SAND_RSA","SILT_RCA","SILT_RSA","SILT_CLAY_RCA","SILT_CLAY_RSA","SUSCEP4_RCA","SUSCEP5_RCA","SUSCEP4_RSA","SUSCEP5_RSA","OWN_PRI_RCA","OWN_ODF_RCA","OWN_FED_RCA","OWN_URB_RCA","OWN_AGR_RCA","OWN_PRI_RSA","OWN_ODF_RSA","OWN_FED_RSA","OWN_URB_RSA","OWN_AGR_RSA","ROADLEN_RCA","ROADLEN_RSA","ROADX_RCA","SPLASH_RCA","TYPEF_RCA","FPA_RCA","SQM_RCA","SQM_RSA","SQM_ARCA","COMP_ARCA","EROD_ARCA","KFACT_ARCA","CLAY_ARCA","SAND_ARCA","SILT_CLAY_ARCA","SILT_ARCA","ROADLEN_ARCA","OWN_PRI_ARCA","OWN_ODF_ARCA","OWN_FED_ARCA","OWN_URB_ARCA","OWN_AGR_ARCA","POP_ARCA","FPA_ARCA","DIS_1YR_ARCA","DIS_3YR_ARCA","DIS_10YR_ARCA","SQM_ARSA","COMP_ARSA","EROD_ARSA","ROADLEN_ARSA","OWN_PRI_ARSA","OWN_ODF_ARSA","OWN_FED_ARSA","OWN_URB_ARSA","OWN_AGR_ARSA","DIS_1YR_ARSA","DIS_3YR_ARSA","DIS_10YR_ARSA","SPLASH_ARCA","SUSCEP4_ARCA","SUSCEP5_ARCA","ROADX_ARCA","TYPEF_ARCA","sum_60_days","sum_180_days","sum_365_days","sum_1095_days","X6month_count_60_days","X2year_count_60_days","X10year_count_60_days","X25year_count_60_days","X50year_count_60_days","X100year_count_60_days","X6month_count_180_days","X2year_count_180_days","X10year_count_180_days","X25year_count_180_days","X50year_count_180_days","X100year_count_180_days","X6month_count_365_days","X2year_count_365_days","X10year_count_365_days","X25year_count_365_days","X50year_count_365_days","X100year_count_365_days","X6month_count_1095_days","X2year_count_1095_days","X10year_count_1095_days","X25year_count_1095_days","X50year_count_1095_days","X100year_count_1095_days","days_since_X6month","days_since_X2year","days_since_X10year","days_since_X25year","days_since_X50year","days_since_X100year","PPT_1971_2000","PPT_1981_2010","XSLOPE_MAP","MIN_Z","SQKM_ARCA","Q0001E_adj","STRMPWR","FSS_26Aug14","DATE","YEAR","MONTH","CLAY_PARCA","CLAY_PRCA","COMP_PARCA","COMP_PARSA","COMP_PRCA","COMP_PRSA","DIS_10YR_PARCA","DIS_10YR_PARSA","DIS_10YR_PRCA","DIS_10YR_PRSA","DIS_1YR_PARCA","DIS_1YR_PARSA","DIS_1YR_PRCA","DIS_1YR_PRSA","DIS_3YR_PARCA","DIS_3YR_PARSA","DIS_3YR_PRCA","DIS_3YR_PRSA","EROD_PARCA","EROD_PARSA","EROD_PRCA","EROD_PRSA","KFACT_MARCA","KFACT_MRCA","OWN_AGR_PARCA","OWN_AGR_PARSA","OWN_AGR_PRCA","OWN_AGR_PRSA","OWN_FED_PARCA","OWN_FED_PARSA","OWN_FED_PRCA","OWN_FED_PRSA","OWN_ODF_PARCA","OWN_ODF_PARSA","OWN_ODF_PRCA","OWN_ODF_PRSA","OWN_PRI_PARCA","OWN_PRI_PARSA","OWN_PRI_PRCA","OWN_PRI_PRSA","OWN_URB_PARCA","OWN_URB_PARSA","OWN_URB_PRCA","OWN_URB_PRSA","POP_DARCA","ROADLEN_DARCA","ROADLEN_DARSA","ROADLEN_DRCA","ROADLEN_DRSA","ROADX_DARCA","ROADX_DRCA","SAND_PARCA","SAND_PRCA","SILT_CLAY_PARCA","SILT_CLAY_PRCA","SILT_PARCA","SILT_PRCA","SUSCEP4_PARCA","SUSCEP4_PRCA","SUSCEP5_PARCA","SUSCEP5_PRCA","TYPEF_PARCA"
"00002CSR","23815",2066,0.905286258664126,42014.2294066408,45.89721,-123.84827,2066,0,0,5400,0,0,0,25.1169014084507,28.108,63900,22500,0,0,29.6056338028169,34.84,0,0,24.487323943662,20.564,50.3957746478873,51.328,75.5126767225669,79.4360003662109,2700,4500,0,1800,63900,0,0,0,0,22500,0,0,0,0,545.095154972423,278.224559530951,2,0,213.971933303224,213.971933303224,63900,22500,25228800,10549800,14679000,694190.605633803,674895.916901408,746184.087323944,2050313.41267672,1375417.49577465,46890.0951549724,21384900,0,0,0,0,0,98948.0612148789,289800,2508300,2520000,3241800,789300,2452500,6180.22455953095,2337300,0,0,0,0,15300,177300,401400,0,434700,609300,38,29909.1331691411,534.525957976778,1924.88810363048,3854.72715815294,12577.4238306387,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,15,1601,Inf,Inf,Inf,Inf,253131,244472,1.24371339602444,57.912,25.2288,96.4386844897093,119.942083794826,4,2000-06-27,2000,6,24.0759102775902,0.353759174766911,41.81649543379,24.3475846751805,100,100,9.98858447488585,12.3820099944475,8.45070422535211,0,1.14868721461187,0.471960022209883,0,0,9.94220890410959,5.46918378678512,0,0,58.18350456621,75.6524153248195,0,0,24.7642196644479,0.416980757786154,0,0,0,0,0,0,0,0,0,0,0,0,84.7638413242009,72.0988339811216,100,100,0,0,0,0,0,1.85859395432888,1.90641759501849,8.53044060989707,4.35406196449063,0.00150621511922882,0.0312989045383412,26.6190099644672,0.34489188653045,73.141888294689,1.06355882707841,49.0659780170751,0.70979964292799,1.72303082191781,4.22535211267606,2.41509703196347,7.04225352112676,30.2271037976069
"00003WSE","24414",23159,0.936740900596631,154880.458762264,43.32637,-123.84749,23159,0,0,0,0,0,0,16.9941176470588,15.7,0,0,61200,10800,16.5294117647059,15,0,0,47.8926470588235,49.5,35.1117647058824,34.8,52.1058823080624,50.5,5400,9000,0,0,0,0,61200,0,0,0,0,10800,0,0,189.054564751523,0,0,0,96.4941043147543,96.4941043147543,61200,10800,9028800,0,9028800,213692.529411765,208969.794117647,436418.192647059,560410.505882308,351440.711764706,189.054564751523,3496500,0,5532300,0,0,0,46166.3439685919,47700,147600,153000,970200,0,970200,0,299700,0,670500,0,0,0,0,0,0,403200,332100,0,6180.31228149495,53.0876917672845,696.400766394173,1900.00999592832,6212.41691973046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,619,1351,1351,1351,Inf,Inf,194057,189991,4.55098758982962,158.250695301531,9.0288,14.0982759601707,64.1610789327301,8,2000-08-01,2000,8,20.8303223801482,0.249913494809689,0,0,0,0,1.69457735247209,0,0,0,0.528309409888357,0,0,0,1.6347687400319,0,0,0,100,100,100,100,21.3010894549207,0.243079584775087,0,0,0,0,61.2739234449761,69.1094619666048,100,100,0,0,0,0,38.7260765550239,30.8905380333952,0,0,0,0,0,0,0,0.0209390577653202,0,3.08912687502488,0,0,0,43.5026109097945,0.704303633217993,55.862291256211,0.766262975118564,35.0319688760672,0.516349480968858,4.46570972886762,8.82352941176471,3.67822966507177,14.7058823529412,13.3870515839408
"00010WSE","24421",27072,0.895636703132425,199742.190335284,43.01943,-123.82788,27072,0,0,0,0,0,0,15.4526315789474,14.8,0,0,188100,31500,16.9282296650718,15,0,0,52.8507177033493,53.8,31.6818181818183,31.4,47.1344504105417,46.2000007629395,10800,8100,1800,1800,0,0,188100,0,0,0,0,31500,0,0,396.357097145663,278.615437093605,0,0,314.185542865209,555.305958184223,188100,31500,49281300,0,49281300,1293041.92822967,1267513.45263158,2216193.0507177,3237643.93445041,1970130.48081818,113434.357097146,29868300,0,19410300,2700,0,0,258546.635244364,2128500,5051700,9055800,5222700,0,5218200,8520.61543709361,3483900,0,1738800,0,0,203400,308700,0,0,1259100,1087200,42,37502.0989387053,45.3532432115612,539.119863217621,1468.23540206815,5048.01026580513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,620,1352,1352,1352,Inf,Inf,155771,126912,2.7904267657377,348.911245565454,49.2813,59.5512999163363,166.173541221018,6,2000-08-02,2000,8,23.1479710837259,0.073936036262906,0,0,0,0,18.3757327830232,0,0,0,4.31908249173622,3.89453730828882,0,0,10.250744197089,5.91073582629674,0,0,100,99.9138376701706,100,100,23.6141850033724,0.0809963141869463,0,0,0,0,39.3867450736892,33.2931242460796,100,100,0,0,0,0,60.6077761747356,66.7068757539204,0,0,0.00547875157514108,0,0,0,0,2.3017728245226,1.63145795031183,2.10716160098704,1.48120912862097,0.000852250245021945,0,40.4732372247878,0.252874247384446,59.1274893520538,0.225523686174841,35.9795182500535,0.151587646802958,2.55492448454079,5.74162679425837,2.20611063425681,4.30622009569378,14.5049649952939
"00012CSR","23834",29176,0.912881313534551,291435.35910881,42.78835,-123.94733,29176,0,0,0,0,0,0,23.8795180722892,24.9473684210526,0,0,149400,34200,30.8734939759036,35.3421052631579,0,0,30.7307228915663,14.4131578947368,45.3668674698795,60.6394736842105,69.2463865165251,85.5868445948551,9900,7200,1800,0,83700,0,65700,0,0,25200,0,9000,0,0,302.238308904043,86.4752097819043,0,0,360.427550275363,384.385822804342,149400,34200,64236600,2007000,62229600,1659745.87349398,1498636.88151807,3050485.13172289,4069240.44638652,2570603.56686747,103361.238308904,31679100,0,32549400,8100,0,0,121952.266761006,3223800,3750300,7286400,6832800,59400,6768900,12878.4752097819,3620700,0,3212100,0,0,465300,0,0,0,1525500,1157400,76,50668.7738393705,205.949100413248,1363.06590425413,2051.53010561625,6880.93880647603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,1316,1316,1316,Inf,Inf,222811,232387,0.631313111111112,674,64.2366,126.866506131781,80.0924886818518,5,2000-06-27,2000,6,20.9969580171781,0.143852518507766,3.12438703169221,0.869336143308746,0,0,11.3430661025023,0,0,0,5.01863423655673,6.80979978925184,0,0,5.83826043096926,0,0,0,96.8756129683078,99.0648050579557,100,100,23.254208444167,0.185984903469299,0,0,0,0,50.6711127301258,47.0100105374078,43.9759036144578,26.3157894736842,0,0,0,0,49.316277636114,52.9899894625922,56.0240963855422,73.6842105263158,0.0126096337601928,0,0,0,0,1.60907081490776,1.88480201524732,2.02301411582358,0.578816665206856,0.00118312613058599,0,42.7394447799323,0.185124836696182,57.0129241234415,0.417146906726055,36.0159661342712,0.273294382348672,2.37481435816964,6.62650602409639,1.80177655728977,4.81927710843374,41.5480377569919
"00013CSR","23831",29200,0.882303093076529,256469.577747325,42.75539,-124.07942,29200,12600,12600,12600,0,0,0,21.1140613313392,19.2,0,0,864000,63000,26.698578908003,28,0,0,44.1249813014216,47.3999999999999,34.6990276738965,33.3000000000001,55.8130880967841,52.5,79200,87300,7200,900,0,0,1203300,0,0,0,0,108000,0,0,808.931578221327,0,0,0,1106.81368206518,1752.41701541521,1203300,108000,39152700,0,35102700,796426.698578908,918402.214061331,1846123.4249813,2368866.8130881,1450464.59902767,27271.9315782213,0,0,39152700,0,0,0,69587.8247785791,1622700,1622700,2140200,4006800,0,3656700,3398,0,0,4006800,0,0,135000,0,0,0,2961000,3382200,16,15557.4651883272,261.128888527227,1782.61143271016,2778.97841496236,9025.49937266286,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,167,1317,1317,1317,1317,Inf,221532,195653,4.10353522222223,256,39.1527,113.60343034923,466.175677803333,4,2000-06-28,2000,6,21.1146361518607,0.0157921176748984,0,0,0,0,5.46628968117141,0,1.04712041884817,0,4.14454175574098,3.36927223719677,1.04712041884817,0,4.14454175574098,0,1.04712041884817,0,89.6558858009792,91.2623539982031,71.8025430067315,58.3333333333333,18.3103434471884,0.0199690193777135,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696553023883955,0.84805830088849,0.672260930957639,0,0.000408656363418104,0,42.4435218176683,0.0330029777871516,54.4617163207673,0.0417450172750816,33.3470801689276,0.0259529002796533,7.56269682550629,6.58189977561705,8.63848470220445,7.25504861630516,22.356590736712
"00015CSR","23816",5924,0.89958364600617,44101.2229202569,45.54567,-123.75468,5924,0,0,0,0,0,0,20.877570093458,19.2921052631579,0,0,0,0,12.8317757009346,20.8421052631579,0,0,35.1934579439253,38.7184210526316,43.9289719626168,41.9894736842105,64.8065401594215,61.281577562031,12600,9000,0,900,0,96300,0,0,0,0,34200,0,0,0,286.71022217895,151.276768488267,2,0,280.264207509929,527.038343164246,96300,34200,24834600,0,0,334288.831775701,613828.078570093,782305.192457944,1966293.49654016,1352465.42897196,25853.710222179,0,23240700,1593900,0,0,0,242082.924848219,571500,594900,1583100,2513700,0,0,4781.27676848827,0,2351700,162000,0,0,18000,18000,106200,0,3464100,3564900,28,21899.0737191724,356.592681099275,1361.35365852827,3096.358052156,10628.3173156876,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,10,1,0,0,0,0,24,556,1610,1611,Inf,Inf,300901,300449,1.31789342093859,69.1819004341917,24.8346,70.2487372881356,92.5803487012772,3,2000-07-06,2000,7,22.2449836402875,0.195117477508953,0,0,0,0,6.37457418279336,4.22484783387039,0,0,2.30122490396463,0.716075904045829,0,0,2.39544828585924,0.716075904045829,0,0,0,0,0,0,12.1145477921179,0.119923137391912,0,0,0,0,6.41806189751395,6.44468313641246,0,0,93.581938102486,93.5553168635875,100,100,0,0,0,0,0,0,0,0,0,1.04103590241755,1.90208726916031,2.9772608741324,1.57089063850745,0.00112745927053385,0.0207684319833853,28.3505541950404,0.328910821905844,71.2580088620772,0.605668599620762,49.0130256204959,0.41055113983754,13.9486844966297,13.0841121495327,14.3545698340219,9.34579439252336,9.04610423593594
"00016CSR","21811",6013,0.938617296577216,105251.982617947,45.58563,-123.51698,6013,0,0,0,0,0,0,18.4416666666667,18,0,0,0,0,24.4166666666667,32,0,0,41.8583333333333,46.5,39.7458333333333,35.6,58.1874992052714,53.5999984741211,3600,1800,0,0,0,21600,0,0,0,0,8100,0,0,0,205.160906416932,171.812028968448,2,0,155.373350933493,155.373350933493,21600,8100,8342100,0,1272600,199050.416666667,176759.243666667,348788.958333333,575759.887499205,399000.645833333,3473.16090641693,222300,8119800,0,0,0,0,49822.6394920832,27000,27000,253800,756900,0,26100,727.812028968448,0,756900,0,0,0,0,0,0,0,552600,423000,6,7436.17637621204,389.707857912938,1440.80785946601,3157.92498981939,11346.2035515547,1,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,12,3,0,0,0,0,23,222,1610,1610,1610,Inf,332582,307156,2.99229582936095,201.203972024095,8.3421,25.9972681458003,77.7915170474566,5,2000-07-05,2000,7,19.0699367425468,0.768402777777778,0,0,0,0,3.04239939583558,0,0,0,0.323659510195275,0,0,0,0.323659510195275,0,0,0,15.2551515805373,3.44827586206897,0,0,21.4748534541662,1.01736111111111,0,0,0,0,0,0,0,0,97.3352033660589,100,100,100,2.66479663394109,0,0,0,0,0,0,0,0,0.416341317703807,0.961569598320053,9.49819011189498,7.95426060039111,0.000719243355989499,0.0925925925925926,37.6296211385622,1.74409722222222,62.1167210593597,2.42447913355298,43.0467845326716,1.65607638888889,6.62423130866329,16.6666666666667,5.07066565972597,8.33333333333333,14.9252959137054
"00019CSR","23818",4851,0.885250085174616,323712.620998388,45.79846,-123.19297,4851,0,0,0,0,0,0,32.4268656716418,23.4,0,0,60300,13500,39.2388059701493,43,0,0,11.865671641791,10.8,55.644776119403,65.8,88.0716396730338,89.2000045776367,0,0,0,0,60300,0,0,0,0,13500,0,0,0,0,269.644111655046,0,0,0,529.632114138263,529.632114138263,60300,13500,22445100,1366200,21078900,968759.23880597,676070.227865672,382131.065671642,2105705.47163967,1429635.24477612,33306.644111655,21965400,467100,0,12600,0,14.9091719016,60896.4307230258,1044900,1590300,3969000,2259900,37800,2222100,3251,2180700,79200,0,0,0,74700,96300,897300,0,125100,35100,13,23014.0260380723,93.3652773269245,657.086109922423,1493.95083193833,5686.27055458859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,555,555,Inf,Inf,Inf,Inf,147850,140199,0.820141104221185,202.742137171524,22.4451,29.5470951492537,24.2327872422374,15,2000-07-05,2000,7,27.1089549647408,0.483983069725997,6.08685191868158,1.6726403823178,0,0,17.6831468783833,39.705296694544,0,0,4.6553590761458,3.30545599362804,0,0,7.08528810297125,4.26125049780964,0,0,93.9131480813184,98.3273596176822,100,100,38.8451517224416,0.585653820449989,0,0,0,0,0,0,0,0,2.08107782990497,3.50457984866587,0,0,97.8627851958779,96.4954201513341,100,100,0.0561369742170897,0,0,0,0.000664250633839903,1.48391604901092,1.43855922828444,4.47170997769563,0,0.000579191003827116,0,15.3226298436843,0.17709957674315,84.4342384073007,1.31450208467215,57.3252834827427,0.830519046558253,0.557359958298248,0,0.156381571033321,0,37.7920770804229
"00020CSR","23813",7929,0.904448482175105,130143.428483969,45.30022,-123.55835,7929,18900,18900,18900,0,0,0,20.5502777777781,20.3451612903226,480600,0,903600,164700,27.4444444444444,28.7258064516129,0,0,36.629666666667,36.7967741935483,42.8249999999994,42.858064516129,63.3752773475647,63.2032251050395,20700,9000,1800,0,0,310500,1309500,0,0,0,45000,122400,0,0,4612.54561549339,175.545377755108,0,0,1760.75352237443,11389.8635382963,1620000,167400,17523000,3601800,9517500,549330.444444444,356147.150277778,653478.430666667,1113321.87527735,757174.725,21204.5456154934,241200,4908600,12373200,0,0,0,121587.389354824,954900,966600,1651500,1807200,249300,1174500,1439.54537775511,0,366300,1440900,0,0,82800,82800,365400,0,325800,233100,9,14043.9429083906,332.103635030658,1243.78333280275,2849.1945562488,10187.1184987889,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,11,2,0,0,0,0,24,556,1611,Inf,Inf,Inf,269357,313540,2.51209699510413,340.452447070313,17.523,45.0448172420159,113.156950038683,2,2000-07-06,2000,7,18.2920981139074,0.0114168209876545,20.5546995377504,13.7948207171315,29.6666666666667,0,9.42475603492553,20.2191235059761,1.16666666666667,0,5.44940934771443,4.58167330677291,1.16666666666667,0,5.51617873651772,4.58167330677291,1.16666666666667,0,54.3143297380586,64.9900398406375,55.7777777777778,98.3870967741936,28.2141984819951,0.0152469135802469,0,0,0,0,70.6111967128916,79.7310756972112,80.8333333333333,73.1182795698925,28.0123266563945,20.2689243027888,19.1666666666667,26.8817204301075,1.37647663071392,0,0,0,0,0,0,0,0,1.21009790649394,0.796561187336824,2.84725037993419,0.108361344293277,0.000513610683102209,0,33.5633503167266,0.020349814814815,57.181400887383,0.0352084874153137,38.8893027734977,0.0237916666666663,1.85927067282999,1.27777777777778,1.33025166923472,0.555555555555556,11.5504930099343
"00026CSR","23823",14015,0.739129686827294,79686.1149176506,44.08514,-123.985,14015,153900,250200,318600,14400,14400,14400,29.9091423719218,25.5073107049609,0,0,3179700,344700,21.7152561562412,22.6527415143603,0,0,34.0413246532691,37.3065274151436,36.027144070195,37.186684073107,65.9362869672994,62.6939947860359,62100,25200,1800,1800,0,0,2817900,0,0,0,0,201600,0,0,4182.80461594943,0,0,0,3293.68544526736,16686.8037487288,3179700,344700,5123700,213300,4910400,43793.7152561562,53056.4091423719,71373.0413246533,144741.036286967,91684.6271440702,4182.80461594943,0,0,4761900,0,0,0,26482.42877781,171000,288900,375300,499500,0,499500,0,0,0,356400,0,0,14400,15300,14400,0,118800,68400,0,4886.00037925562,217.960001221392,1037.57625322859,2162.0787542758,7262.42750340025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,592,592,1329,1329,Inf,Inf,206075,208127,1.87303653650628,61.5123205812792,5.1237,8.56800022499719,16.0481774662138,7,2000-07-10,2000,7,9.31958706171999,0.00846565026094589,4.16300720182681,0,0,0,7.32478482346742,2.88288288288288,10.0198131899236,4.17754569190601,3.33743193395398,2.88288288288288,4.84007925275969,4.17754569190601,5.63850342525909,3.06306306306306,7.86866685536371,4.17754569190601,95.8369927981732,100,100,100,7.69255493696755,0.00614640706375351,0,0,0,0,92.9386966450026,71.3513513513514,88.6215680724597,58.4856396866841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816364075950861,0,1.31547146458767,0,0,0,12.5369824915955,0.00963524615150554,25.4243871925114,0.0186629739505518,16.1048001306991,0.0101973235409553,2.31863692253645,1.95301443532409,1.33497277358159,0.792527596943108,18.4499708098891
